"channelSeq","channelName","clipNo","title","synonym","vodid","playtime"
435,"B1A4+",69475,"[REPLAY]진,산 먹방♡","리플레이,다시,보기,다시보기,B1A4,비원에이포,비원애이포,비포,뵤네뽀,진영,Jinyoung,산들,Sandeul,먹방,먹는,방송,먹는방송,진영먹방,산들먹방,진영먹는,산들먹는,진영먹는방송,산들먹는방송,진산먹방,진산먹는,진산먹는방송","010C7853A507FDEBCCAF971EA128970D1EE5",4650
435,"B1A4+",33551,"[REPLAY] 볼링볼링~","B1A4,B1,A4,비원에이포,비원,에이포,산들,sandeul,다시보기,다시,보기,리플레이","40DBFD57917157B79B6A675B389FA5C322ED",651
435,"B1A4+",105655,"[REPLAY] 산들 VLOG '클라이밍' EP.02","vlive,v live,B1A4,비원에이포,B1,A4,비원,에이포,산들,Sandeul,B1A4채널플러스다시보기,비원에이포채널플러스다시보기,다시보기,다시,보기,채널플러스,산들브이로그클라이밍에피소드2,산들브이로그클라이밍에피소드2화,산들브이로그클라이밍에피소드2회,에피소드,2화,2회,산들브이로그,브이,로그","AEC6869283C4A451C98CF4B7A8E29F9585FA",3079
563,"the TAEMIN: Xtra cam",36064,"#HappyTaeminDay! 태밍쑨~","샤이니태민,샤이니,태민,SHINeetaemin,SHINee,taemin,해피태민데이,해피,데이,태민생일,샤이니태민생일,생일,태민데이","73E1418A8331DDB7D05A2F148C83ABC0AD28",61
783,"DK",88715,"[DK] '눈부신 눈물' 세로 라이브 ","vlive,v live,한대규,Handaekyu,DK,디케이,DK눈부신눈물,한대규눈부신눈물,눈부신눈물,눈부신,눈물","777FF1F23224CF6DE3BFB908823C28B2029B",257
243,"BLACKPINK",79334,"BLACKPINK - JENNIE '뚜두뚜두 (DDU-DU DDU-DU)' FOCUSED CAMERA","블랙핑크,블랙,핑크,블핑,Blackpink,black,pink,제니,Jennie,뚜두,뚜두뚜두,Ddudu,DduduDdudu,블랙핑크뚜두뚜두,블핑뚜두뚜두,포커스,카메라,포커스드,포커스카메라,포커스드카메라,제니포커스,제니포커스드,제니포커스카메라,제니포커스드카메라,제니직캠,직캠","3517E4E0170E639A70ABFC00F15DF45674A3",208
243,"BLACKPINK",85248,"챙이 돌아왔어용🌼","vlive,v live,BLACKPINK,블랙핑크,BLACK,PINK,블랙,핑크,로제,ROSE","15D82C9162074E12FC96D96732A009E527A9",463
243,"BLACKPINK",38231,"8월8일8시 블핑 탄생일 ♥️🙏","BLACKPINK,블랙핑크,BLACK,PINK,블랙,핑크,지수,JISOO,제니,JENNIE,로제,ROSE,리사,LISA,","D11234713A2FA4D995B0C4656EF7B3D3FAC1",1074
243,"BLACKPINK",37484,"방구석지슈","블랙핑크,블랙,핑크,BLACKPINK,BLACK,PINK,지수,JISOO,지수달곰이,달곰이,로제,ROSE,","451675C7CB3DEDA6A487C10964006B52B35C",1225
243,"BLACKPINK",44181,"다시 돌아온 일상🤘🖤","블랙핑크,blackpink,블랙,핑크,black,pink,지수,jisoo,블핑,리사,lisa,","1DC59AC6D1A465E90C60094D0787416655BF",1009
243,"BLACKPINK",64349,"츄디🌼","블랙핑크,블랙,핑크,blackpink,black,pink,블핑,지수,Jisoo,","46046A3C5F81AACC41913EEDE749FF3FC015",4085
243,"BLACKPINK",78098,"5관왕이라니..!!😭🙏🏻🖤💕","BLACKPINK,블랙핑크,BLACK,PINK,블랙,핑크,블핑,지수,JISOO,제니,JENNIE,로제,ROSE,리사,LISA","048B8F9452E40CBF6B9289A8AD64291A04ED",660
243,"BLACKPINK",27494,"챙리's backkk","블랙핑크,블랙,핑크,블핑,BLACK,PINK,BLACKPINK,로제,ROSE,리사,LISA,지수,JISOO,블랙핑크막내라인,막내라인,막내,라인,랩,","43F1C535622B412D914D018D25301D4186AB",1572
243,"BLACKPINK",80347,"BLACKPINK - ROSÉ 'Forever Young' FOCUSED CAMERA","BLACKPINK,블랙핑크,BLACK,PINK,블랙,핑크,로제,ROSE,블랙핑크포레버영,블랙핑크Foreveryoung,BLACKPINKForeveryoung,BLACKPINK포레버영,포레버영,Foreveryoung,포레버,영,Forever,young,로제포커스드카메라,로제직캠,로제팬캠,포커스드카메라,직캠,팬캠,포커스드,카메라","0AB219E772AE46C48BE34942ABB4CE7E0336",234
243,"BLACKPINK",85247,"챙이왔어용🌼","vlive,v live,BLACKPINK,블랙핑크,BLACK,PINK,블랙,핑크,로제,ROSE","EA61AB4F64EEE027BBC3B21FA7062EFA1C02",595
243,"BLACKPINK",44186,"두번째 도전🙏🏻✨","BLACKPINK,블랙핑크,BLACK,PINK,블랙,핑크,블핑,지수,JISOO","14AD3D03778BA76954649539B2BEA604C874",1124
243,"BLACKPINK",64617,"goodnight 🌸","BLACKPINK,블랙핑크,BLACK,PINK,블랙,핑크,제니,JENNIE","7123D663274E5C80B6885D241B37B14007B5",958
243,"BLACKPINK",35825,"[CH+ mini replay] 🏆🏆🏆감사합니다🙏 🏻🏆🏆🏆 Thank you 🙏","블랙핑크,블랙,핑크,블핑,BLACK,PINK,BLACKPINK,지수,JISOO,제니,JENNIE,로제,ROSE,ROSÉ,리사,LISA,채널플러스미니리플레이,채널,플러스,미니,채널플러스,채널플러스미니,미니리플레이,리,플레이,리플레이,다시,보기,다시보기,채널플러스다시보기,","F13719B35279F9A02DDE964632EF10C2ED01",173
243,"BLACKPINK",57153,"[CH+ mini replay] 리챙’s hereeee 👯‍♀️🖤 Li-Chaeng’s hereeee","블랙핑크채널플러스,블핑채널플러스,blackpink채널플러스,채널,플러스,미니,리플레이,채널플러스,플러스미니,미니리플레이,채널플러스미니,플러스미니리플레이,채널플러스미니리플레이,다시,보기,다시보기,미니다시,미니다시보기,블랙핑크,블랙,핑크,blackpink,black,pink,블핑,로제,Rose,리사,Lisa,리챙스,리챙'스,백,리챙'스히어,리챙스히어,리챙'스히얼,리챙스히얼","312468DFEF652569373D880AE4DB2F78ED65",180
243,"BLACKPINK",58612,"츄나잇✨🌙","블랙핑크,블랙,핑크,blackpink,black,pink,블핑,지수,Jisoo","069CAB2EB749EA1A6EAE9B4AE236E28DA6E2",633
243,"BLACKPINK",80650,"BLACKPINK - JISOO 'Forever Young' FOCUSED CAMERA","vlive,v live,BLACKPINK,블랙핑크,BLACK,PINK,블랙,핑크,지수,JISOO,블랙핑크포레버영,블랙핑크포에버영,블랙핑크Foreveryoung,BLACKPINKForeveryoung,BLACKPINK포레버영,BLACKPINK포에버영,포레버영,포에버영,Foreveryoung,포레버,포에버,영,Forever,young,지수포커스드카메라,지수직캠,지수팬캠,포커스드카메라,직캠,팬캠,포커스드,카메라","A1098E7A1F3A8E5BBD46D2C8FDC04B099D5A",233
243,"BLACKPINK",55270,"하히히ㅣ히헿!!!!!!","블랙핑크,블랙,핑크,BLACKPINK,BLACK,PINK,지수,Jisu","8BD2CCBA9229A078B0BF9B09557FB349DE0B",1582
243,"BLACKPINK",57138,"리챙's backkk 🖤🦋","블랙핑크,블랙,핑크,blackpink,black,pink,블핑,로제,Rose,리사,Lisa,리챙스,리챙'스,백,리챙'스백,리챙스백","2E79CC4CE60022B7B7D80911B1A8BFA391D4",149
243,"BLACKPINK",79253,"700일🖤💖","블랙핑크,블랙,핑크,BLACKPINK,BLACK,PINK,지수,Jisu","ABE0A324FE8891F5CC2ABBC72B7A66561CB9",1324
243,"BLACKPINK",95491,"Rosé in ya areaaaa","vlive,v live,인,야,에어리아,로제인,인야,야에어리아,로제인야,인야에어리아,로제인야에어리아,에어리어,야에어리어,인야에어리어,로제인야에어리어,에리아,야에리아,인야에리아,로제인야에리아,블랙핑크,블랙,핑크,블핑,Blackpink,black,pink,로제,Rose","25329CF2F54C213D3327E1170FA295B4FF63",1231
243,"BLACKPINK",42947,"젠득타임🖤","BLACKPINK,BLACK,PINK,블랙핑크,블랙,핑크,제니,Jenny","23AFBDAFC40A2CB8D744F85F5DA177373136",1263
243,"BLACKPINK",46854,"이동중인 챙 🍒🍁","BLACKPINK,블랙핑크,BLACK,PINK,블랙,핑크,블핑,지수,JISOO,로제,ROSE","8231BCECF297F66957F80DFBB21B02F7311F",1465
243,"BLACKPINK",55283,"[CH+ mini replay] 츄의 퇴근길♡ Jisoo Finishes Work","블랙핑크,블랙,핑크,BLACKPINK,BLACK,PINK,지수,Jisu,BLACKPINK채널플러스,블랙핑크채널플러스,채널플러스,채널,플러스,다시보기,다시,보기,리플레이","9140255E857154EDA820955E5AD501DB7C0F",179
243,"BLACKPINK",62674,"챙스백 🦋","블랙핑크,블랙,핑크,BLACKPINK,BLACK,PINK,로제,ROSE","041C1B1D807A9F71BF9E1B6811099841C5E0",1411
243,"BLACKPINK",83359,"막방이라니😭","vlive,v live,BLACKPINK,블랙핑크,BLACK,PINK,블랙,핑크,지수,JISOO","29B479E57B734315F84C9C1D2F17F698ABE3",1351
243,"BLACKPINK",40670,"🦋리챙🦋","블랙핑크,blackpink,블랙,핑크,black,pink,지수,jisoo,로제,rose,블핑,리사,lisa,","18EECB2C9A6905A96A4563331361CD1E3855",1163
243,"BLACKPINK",42628,"[CH+ mini replay] 츄츄츄츄츄츄츄츄츄우💋 Chu chu chu chu chuuuu💋","BLACKPINK,블랙핑크,BLACK,PINK,블랙,핑크,블핑,지수,JISOO,,로제,ROSE,BLACKPINK채널플러스,블랙핑크채널플러스,채널플러스,채널,플러스,다시보기,다시,보기,리플레이","47C1D6C57F5394A5176E3E18CECAAE499F65",180
